"図鑑番号","ポケモン名","HP","A","B","C","D","S","タイプ１","タイプ２","通常特性１","通常特性２","夢特性","合計","重さ(kg)","体重技威力"
"065-1","メガフーディン","55","50","65","175","105","150","超","-","トレース","-","-","600","48","80"
"66","ワンリキー","70","80","50","35","35","35","格","-","こんじょう"," ノーガード","ふくつのこころ","305","19.5","40"
"67","ゴーリキー","80","100","70","50","60","45","格","-","こんじょう"," ノーガード","ふくつのこころ","405","70.5","80"
"68","カイリキー","90","130","80","65","85","55","格","-","こんじょう"," ノーガード","ふくつのこころ","505","130","100"
"69","マダツボミ","50","75","35","70","30","40","草","毒","ようりょくそ","-","くいしんぼう","300","4","20"
"70","ウツドン","65","90","50","85","45","55","草","毒","ようりょくそ","-","くいしんぼう","390","6.4","20"
"71","ウツボット","80","105","65","100","70","70","草","毒","ようりょくそ","-","くいしんぼう","490","15.5","40"
"72","メノクラゲ","40","40","35","50","100","70","水","毒","クリアボディ"," ヘドロえき","あめうけざら","335","45.5","80"
"73","ドククラゲ","80","70","65","80","120","100","水","毒","クリアボディ"," ヘドロえき","あめうけざら","515","55","80"
"74","イシツブテ","40","80","100","30","30","20","岩","地","いしあたま"," がんじょう","すながくれ","300","20","40"
"074-1","イシツブテ_A","40","80","100","30","30","20","岩","電","じりょく"," がんじょう","エレキスキン","300","20.3","40"
"75","ゴローン","55","95","115","45","45","35","岩","地","いしあたま"," がんじょう","すながくれ","390","105","100"
"075-1","ゴローン_A","55","95","115","45","45","35","岩","電","じりょく"," がんじょう","エレキスキン","390","110","100"
"76","ゴローニャ","80","120","130","55","65","45","岩","地","いしあたま"," がんじょう","すながくれ","495","300","120"
"076-1","ゴローニャ_A","80","120","130","55","65","45","岩","電","じりょく"," がんじょう","エレキスキン","495","316","120"
"77","ポニータ","50","85","55","65","65","90","炎","-","にげあし"," もらいび","ほのおのからだ","410","24","40"
"077-1","ポニータ_G","50","85","55","65","65","90","超","-","にげあし","パステルベール","きけんよち","410","30","60"
"78","ギャロップ","65","100","70","80","80","105","炎","-","にげあし"," もらいび","ほのおのからだ","500","80","80"
"078-1","ギャロップ_G","65","100","70","80","80","105","超","妖","にげあし","パステルベール","きけんよち","500","95","80"
"79","ヤドン","90","65","65","40","40","15","水","超","どんかん"," マイペース","さいせいりょく","315","36","60"
"079-1","ヤドン_G","90","65","65","40","40","15","超","","くいしんぼう"," マイペース","さいせいりょく","315","36","60"
"80","ヤドラン","95","75","110","100","80","30","水","超","どんかん"," マイペース","さいせいりょく","490","78.5","80"
"080-1","メガヤドラン","95","75","180","130","80","30","水","超","シェルアーマー","-","-","590","120","100"
"080-2","ヤドラン_G","95","100","95","100","70","30","毒","超","クイックドロウ"," マイペース","さいせいりょく","490","70.5","80"
"81","コイル","25","35","70","95","55","45","電","鋼","じりょく"," がんじょう","アナライズ","325","6","20"
"82","レアコイル","50","60","95","120","70","70","電","鋼","じりょく"," がんじょう","アナライズ","465","60","80"
"83","カモネギ","52","90","55","58","62","60","ノ","飛","するどいめ"," せいしんりょく","まけんき","377","15","40"
"083-1","カモネギ_G","52","95","55","58","62","55","格","","ふくつのこころ","-","きもったま","377","42","80"
"84","ドードー","35","85","45","35","35","75","ノ","飛","にげあし"," はやおき","ちどりあし","310","39.2","60"
"85","ドードリオ","60","110","70","60","60","110","ノ","飛","にげあし"," はやおき","ちどりあし","470","85.2","80"
"86","パウワウ","65","45","55","45","70","45","水","-","あついしぼう"," うるおいボディ","アイスボディ","325","90","80"
"87","ジュゴン","90","70","80","70","95","70","水","氷","あついしぼう"," うるおいボディ","アイスボディ","475","120","100"
"88","ベトベター","80","80","50","40","50","25","毒","-","あくしゅう"," ねんちゃく","どくしゅ","325","30","60"
"088-1","ベトベター_A","80","80","50","40","50","25","毒","悪","どくしゅ"," くいしんぼう","かがくのちから","325","42","80"
"89","ベトベトン","105","105","75","65","100","50","毒","-","あくしゅう"," ねんちゃく","どくしゅ","500","30","60"
"089-1","ベトベトン_A","105","105","75","65","100","50","毒","悪","どくしゅ"," くいしんぼう","かがくのちから","500","52","80"
"90","シェルダー","30","65","100","45","25","40","水","-","シェルアーマー"," スキルリンク","ぼうじん","305","4","20"
"91","パルシェン","50","95","180","85","45","70","水","氷","シェルアーマー"," スキルリンク","ぼうじん","525","132.5","100"
"92","ゴース","30","35","30","100","35","80","霊","毒","ふゆう","-","-","310","0.1","20"
"93","ゴースト","45","50","45","115","55","95","霊","毒","ふゆう","-","-","405","0.1","20"
"94","ゲンガー","60","65","60","130","75","110","霊","毒","のろわれボディ","-","-","500","40.5","80"
"094-1","メガゲンガー","60","65","80","170","95","130","霊","毒","かげふみ","-","-","600","40.5","80"
"95","イワーク","35","45","160","30","45","70","岩","地","いしあたま"," がんじょう","くだけるよろい","385","210","120"
"96","スリープ","60","48","45","43","90","42","超","-","ふみん"," よちむ","せいしんりょく","328","32.4","60"
"97","スリーパー　","85","73","70","73","115","67","超","-","ふみん"," よちむ","せいしんりょく","483","75.6","80"
"98","クラブ","30","105","90","25","25","50","水","-","かいりきバサミ"," シェルアーマー","ちからずく","325","6.5","20"
"99","キングラー","55","130","115","50","50","75","水","-","かいりきバサミ"," シェルアーマー","ちからずく","475","60","80"
"100","ビリリダマ","40","30","50","55","55","100","電","-","ぼうおん"," せいでんき","ゆうばく","330","10.4","40"
"101","マルマイン","60","50","70","80","80","150","電","-","ぼうおん"," せいでんき","ゆうばく","490","66.6","80"
"102","タマタマ","60","40","80","60","45","40","草","超","ようりょくそ","-","しゅうかく","325","2.5","20"
"103","ナッシー","95","95","85","125","75","55","草","超","ようりょくそ","-","しゅうかく","530","120","100"
"103-1","ナッシー_A","95","105","85","125","75","45","草","竜","おみとおし","-","しゅうかく","530","415.6","120"
"104","カラカラ","50","50","95","40","50","35","地","-","いしあたま"," ひらいしん","カブトアーマー","320","6.5","20"
"105","ガラガラ","60","80","110","50","80","45","地","-","いしあたま"," ひらいしん","カブトアーマー","425","45","80"
"105-1","ガラガラ_A","60","80","110","50","80","45","炎","霊","のろわれボディ"," ひらいしん","いしあたま","425","34","60"
"106","サワムラー","50","120","53","35","110","87","格","-","じゅうなん"," すてみ","かるわざ","455","49.8","80"
"107","エビワラー","50","105","79","35","110","76","格","-","するどいめ"," てつのこぶし","せいしんりょく","455","50.2","80"
"108","ベロリンガ","90","55","75","60","75","30","ノ","-","マイペース"," どんかん","ノーてんき","385","65.5","80"
"109","ドガース","40","65","95","60","45","35","毒","-","ふゆう","-","-","340","1","20"
"110","マタドガス","65","90","120","85","70","60","毒","-","ふゆう","-","-","490","9.5","20"
"110-1","マタドガス_G","65","90","120","85","70","60","毒","妖","ふゆう","かがくへんかガス","ミストメイカー","490","16","40"
"111","サイホーン","80","85","95","30","30","25","地","岩","ひらいしん"," いしあたま","すてみ","345","115","100"
"112","サイドン","105","130","120","45","45","40","地","岩","ひらいしん"," いしあたま","すてみ","485","120","100"
"113","ラッキー","250","5","5","35","105","50","ノ","-","しぜんかいふく"," てんのめぐみ","いやしのこころ","450","34.6","60"
"114","モンジャラ","65","55","115","100","40","60","草","-","ようりょくそ"," リーフガード","さいせいりょく","435","35","60"
"115","ガルーラ","105","95","80","40","80","90","ノ","-","はやおき"," きもったま","せいしんりょく","490","80","80"
"115-1","メガガルーラ","105","125","100","60","100","100","ノ","-","おやこあい","-","-","590","100","100"
"116","タッツー","30","40","70","70","25","60","水","-","すいすい"," スナイパー","しめりけ","295","8","20"
"117","シードラ","55","65","95","95","45","85","水","-","どくのトゲ"," スナイパー","しめりけ","440","25","60"
"118","トサキント","45","67","60","35","50","63","水","-","すいすい"," みずのベール","ひらいしん","320","15","40"
"119","アズマオウ","80","92","65","65","80","68","水","-","すいすい"," みずのベール","ひらいしん","450","39","60"
"120","ヒトデマン","30","45","55","70","55","85","水","-","はっこう"," しぜんかいふく","アナライズ","340","34.5","60"
"121","スターミー","60","75","85","100","85","115","水","超","はっこう"," しぜんかいふく","アナライズ","520","80","80"
"122","バリヤード","40","45","65","100","120","90","超","妖","ぼうおん"," フィルター","テクニシャン","460","54.5","80"
"122-1","バリヤード_G","50","65","65","90","90","100","氷","超","やるき","バリアフリー","アイスボディ","460","56.8","80"
"123","ストライク","70","110","80","55","80","105","虫","飛","むしのしらせ"," テクニシャン","ふくつのこころ","500","56","80"
"124","ルージュラ","65","50","35","115","95","95","氷","超","どんかん"," よちむ","かんそうはだ","455","40.6","80"
"125","エレブー","65","83","57","95","85","105","電","-","せいでんき","-","やるき","490","30","60"
"126","ブーバー","65","95","57","100","85","93","炎","-","ほのおのからだ","-","やるき","495","44.5","80"
"127","カイロス","65","125","100","55","70","85","虫","-","かいりきバサミ"," かたやぶり","じしんかじょう","500","55","80"
"127-1","メガカイロス","65","155","120","65","90","105","虫","飛","スカイスキン","-","-","600","59","80"
"128","ケンタロス","75","100","95","40","70","110","ノ","-","いかく"," いかりのつぼ","ちからずく","490","88.4","80"
"129","コイキング","20","10","55","15","20","80","水","-","すいすい","-","びびり","200","10","40"
"130","ギャラドス","95","125","79","60","100","81","水","飛","いかく","-","じしんかじょう","540","235","120"
"130-1","メガギャラドス","95","155","109","70","130","81","水","悪","かたやぶり","-","-","640","305","120"
"131","ラプラス","130","85","80","85","95","60","水","氷","ちょすい"," シェルアーマー","うるおいボディ","535","220","120"
"132","メタモン","48","48","48","48","48","48","ノ","-","じゅうなん","-","かわりもの","288","4","20"
"133","イーブイ","55","55","50","45","65","55","ノ","-","にげあし"," てきおうりょく","きけんよち","325","6.5","20"
"134","シャワーズ","130","65","60","110","95","65","水","-","ちょすい","-","うるおいボディ","525","29","60"
"135","サンダース","65","65","60","110","95","130","電","-","ちくでん","-","はやあし","525","24.5","40"
"136","ブースター","65","130","60","95","110","65","炎","-","もらいび","-","こんじょう","525","25","60"
"137","ポリゴン","65","60","70","85","75","40","ノ","-","トレース"," ダウンロード","アナライズ","395","36.5","60"
"138","オムナイト","35","40","100","90","55","35","岩","水","すいすい"," シェルアーマー","くだけるよろい","355","7.5","20"
"139","オムスター","70","60","125","115","70","55","岩","水","すいすい"," シェルアーマー","くだけるよろい","495","35","60"
"140","カブト","30","80","90","55","45","55","岩","水","すいすい"," カブトアーマー","くだけるよろい","355","11.5","40"
"141","カブトプス","60","115","105","65","70","80","岩","水","すいすい"," カブトアーマー","くだけるよろい","495","40.5","80"
"142","プテラ","80","105","65","60","75","130","岩","飛","いしあたま"," プレッシャー","きんちょうかん","515","59","80"
"142-1","メガプテラ","80","135","85","70","95","150","岩","飛","かたいツメ","-","-","615","79","80"
"143","カビゴン","160","110","65","65","110","30","ノ","-","めんえき"," あついしぼう","くいしんぼう","540","460","120"
"144","フリーザー","90","85","100","95","125","85","氷","飛","プレッシャー","-","ゆきがくれ","580","55.4","80"
"144-1","フリーザー_G","90","85","85","125","100","95","超","飛","かちき","-","-","580","50.9","80"
"145","サンダー","90","90","85","125","90","100","電","飛","プレッシャー","-","せいでんき","580","52.6","80"
"145-1","サンダー_G","90","125","90","85","90","100","格","飛","まけんき","-","-","580","58.2","80"
"146","ファイヤー","90","100","90","125","85","90","炎","飛","プレッシャー","-","ほのおのからだ","580","60","80"
"146-1","ファイヤー_G","90","85","90","100","125","90","悪","飛","ぎゃくじょう","-","-","580","66","80"
"147","ミニリュウ","41","64","45","50","50","50","竜","-","だっぴ","-","ふしぎなうろこ","300","3.3","20"
"148","ハクリュー","61","84","65","70","70","70","竜","-","だっぴ","-","ふしぎなうろこ","420","16.5","40"
"149","カイリュー","91","134","95","100","100","80","竜","飛","せいしんりょく","-","マルチスケイル","600","210","120"
"150","ミュウツー","106","110","90","154","90","130","超","-","プレッシャー","-","きんちょうかん","680","122","100"
"150-1","メガミュウツーX","106","190","100","154","100","130","超","格","ふくつのこころ","-","-","780","127","100"
"150-2","メガミュウツーY","106","150","70","194","120","140","超","-","ふみん","-","-","780","33","60"
"151","ミュウ","100","100","100","100","100","100","超","-","シンクロ","-","-","600","4","20"
"152","チコリータ","45","49","65","49","65","45","草","-","しんりょく","-","リーフガード","318","6.4","20"
"153","ベイリーフ","60","62","80","63","80","60","草","-","しんりょく","-","リーフガード","405","15.8","40"
"154","メガニウム","80","82","100","83","100","80","草","-","しんりょく","-","リーフガード","525","100.5","100"
"155","ヒノアラシ","39","52","43","60","50","65","炎","-","もうか","-","もらいび","309","7.9","20"
"156","マグマラシ","58","64","58","80","65","80","炎","-","もうか","-","もらいび","405","19","40"
"157","バクフーン","78","84","78","109","85","100","炎","-","もうか","-","もらいび","534","79.5","80"
"158","ワニノコ","50","65","64","44","48","43","水","-","げきりゅう","-","ちからずく","314","9.5","20"
"159","アリゲイツ","65","80","80","59","63","58","水","-","げきりゅう","-","ちからずく","405","25","60"
"160","オーダイル","85","105","100","79","83","78","水","-","げきりゅう","-","ちからずく","530","88.8","80"
"161","オタチ","35","46","34","35","45","20","ノ","-","にげあし"," するどいめ","おみとおし","215","6","20"
"162","オオタチ","85","76","64","45","55","90","ノ","-","にげあし"," するどいめ","おみとおし","415","32.5","60"
"163","ホーホー","60","30","30","36","56","50","ノ","飛","ふみん"," するどいめ","いろめがね","262","21.2","40"
"164","ヨルノズク","100","50","50","86","96","70","ノ","飛","ふみん"," するどいめ","いろめがね","452","40.8","80"
"165","レディバ","40","20","30","40","80","55","虫","飛","むしのしらせ"," はやおき","びびり","265","10.8","40"
"166","レディアン","55","35","50","55","110","85","虫","飛","むしのしらせ"," はやおき","てつのこぶし","390","35.6","60"
"167","イトマル","40","60","40","40","40","30","虫","毒","むしのしらせ"," ふみん","スナイパー","250","8.5","20"
"168","アリアドス","70","90","70","60","70","40","虫","毒","むしのしらせ"," ふみん","スナイパー","400","33.5","60"
"169","クロバット","85","90","80","70","80","130","毒","飛","せいしんりょく","-","すりぬけ","535","75","80"
"170","チョンチー","75","38","38","56","56","67","水","電","ちくでん"," はっこう","ちょすい","330","12","40"
"171","ランターン","125","58","58","76","76","67","水","電","ちくでん"," はっこう","ちょすい","460","22.5","40"
"172","ピチュー","20","40","15","35","35","60","電","-","せいでんき","-","ひらいしん","205","2","20"
"173","ピィ","50","25","28","45","55","15","妖","-","メロメロボディ"," マジックガード","フレンドガード","218","3","20"
"174","ププリン","90","30","15","40","20","15","ノ","妖","メロメロボディ"," かちき","フレンドガード","210","1","20"
"175","トゲピー","35","20","65","40","65","20","妖","-","はりきり"," てんのめぐみ","きょううん","245","1.5","20"
"176","トゲチック","55","40","85","80","105","40","妖","飛","はりきり"," てんのめぐみ","きょううん","405","3.2","20"
"177","ネイティ","40","50","45","70","45","70","超","飛","シンクロ"," はやおき","マジックミラー","320","2","20"
"178","ネイティオ","65","75","70","95","70","95","超","飛","シンクロ"," はやおき","マジックミラー","470","15","40"
"179","メリープ","55","40","40","65","45","35","電","-","せいでんき","-","プラス","280","7.8","20"
"180","モココ","70","55","55","80","60","45","電","-","せいでんき","-","プラス","365","13.3","40"
"181","デンリュウ","90","75","85","115","90","55","電","-","せいでんき","-","プラス","510","61.5","80"
"181-1","メガデンリュウ","90","95","105","165","110","45","電","竜","かたやぶり","-","-","610","61.5","80"
"182","キレイハナ","75","80","95","90","100","50","草","-","ようりょくそ","-","いやしのこころ","490","5.8","20"
"183","マリル","70","20","50","20","50","40","水","妖","あついしぼう"," ちからもち","そうしょく","250","8.5","20"
"184","マリルリ","100","50","80","60","80","50","水","妖","あついしぼう"," ちからもち","そうしょく","420","28.5","60"
"185","ウソッキー","70","100","115","30","65","30","岩","-","がんじょう"," いしあたま","びびり","410","38","60"
"186","ニョロトノ","90","75","75","90","100","70","水","-","ちょすい"," しめりけ","あめふらし","500","33.9","60"
"187","ハネッコ","35","35","40","35","55","50","草","飛","ようりょくそ"," リーフガード","すりぬけ","250","0.5","20"
"188","ポポッコ","55","45","50","45","65","80","草","飛","ようりょくそ"," リーフガード","すりぬけ","340","1","20"
"189","ワタッコ","75","55","70","55","95","110","草","飛","ようりょくそ"," リーフガード","すりぬけ","460","3","20"
"190","エイパム","55","70","55","40","55","85","ノ","-","にげあし"," ものひろい","スキルリンク","360","11.5","40"
"191","ヒマナッツ","30","30","30","30","30","30","草","-","ようりょくそ"," サンパワー","はやおき","180","1.8","20"
"192","キマワリ","75","75","55","105","85","30","草","-","ようりょくそ"," サンパワー","はやおき","425","8.5","20"
"193","ヤンヤンマ","65","65","45","75","45","95","虫","飛","かそく"," ふくがん","おみとおし","390","38","60"
"194","ウパー","55","45","45","25","25","15","水","地","しめりけ"," ちょすい","てんねん","210","8.5","20"
"195","ヌオー","95","85","85","65","65","35","水","地","しめりけ"," ちょすい","てんねん","430","75","80"
"196","エーフィ","65","65","60","130","95","110","超","-","シンクロ","-","マジックミラー","525","26.5","60"
"197","ブラッキー","95","65","110","60","130","65","悪","-","シンクロ","-","せいしんりょく","525","27","60"
"198","ヤミカラス","60","85","42","85","42","91","悪","飛","ふみん"," きょううん","いたずらごころ","405","2.1","20"
"199","ヤドキング","95","75","80","100","110","30","水","超","どんかん"," マイペース","さいせいりょく","490","79.5","80"
"199-1","ヤドキング_G","95","65","80","110","110","30","毒","超","きみょうなくすり","マイペース","さいせいりょく","490","79.5","80"
"200","ムウマ","60","60","60","85","85","85","霊","-","ふゆう","-","-","435","1","20"
"201","アンノーン","48","72","48","72","48","48","超","-","ふゆう","-","-","336","5","20"
"202","ソーナンス","190","33","58","33","58","33","超","-","かげふみ","-","テレパシー","405","28.5","60"
"203","キリンリキ","70","80","65","90","65","85","ノ","超","せいしんりょく"," はやおき","そうしょく","455","41.5","80"
"204","クヌギダマ","50","65","90","35","35","15","虫","-","がんじょう","-","ぼうじん","290","7.2","20"
"205","フォレトス","75","90","140","60","60","40","虫","鋼","がんじょう","-","ぼうじん","465","125.8","100"
"206","ノコッチ","100","70","70","65","65","45","ノ","-","てんのめぐみ"," にげあし","びびり","415","14","40"
"207","グライガー","65","75","105","35","65","85","地","飛","かいりきバサミ"," すながくれ","めんえき","430","64.8","80"
"208","ハガネール","75","85","200","55","65","30","鋼","地","いしあたま"," がんじょう","ちからずく","510","400","120"
"208-1","メガハガネール","75","125","230","55","95","30","鋼","地","すなのちから","-","-","610","740","120"
"209","ブルー","60","80","50","40","40","30","妖","-","いかく"," にげあし","びびり","300","7.8","20"
"210","グランブル","90","120","75","60","60","45","妖","-","いかく"," はやあし","びびり","450","48.7","80"
"211","ハリーセン","65","95","85","55","55","85","水","毒","どくのトゲ"," すいすい","いかく","440","3.9","20"
"212","ハッサム","70","130","100","55","80","65","虫","鋼","むしのしらせ"," テクニシャン","ライトメタル","500","118","100"
"212-1","メガハッサム","70","150","140","65","100","75","虫","鋼","テクニシャン","-","-","600","125","100"
"213","ツボツボ","20","10","230","10","230","5","虫","岩","がんじょう"," くいしんぼう","あまのじゃく","505","20.5","40"
"214","ヘラクロス","80","125","75","40","95","85","虫","格","むしのしらせ"," こんじょう","じしんかじょう","500","54","80"
"214-1","メガヘラクロス","80","185","115","40","105","75","虫","格","スキルリンク","-","-","600","62.5","80"
